date,close,open,high,low,diff
2019년 09월 16일,"1,185.02","1,181.80","1,186.60","1,181.80",0.0045 
2019년 09월 13일,"1,179.72","1,182.44","1,184.72","1,175.75",(0.0023)
2019년 09월 12일,"1,182.44","1,190.68","1,191.61","1,177.90",(0.0069)
2019년 09월 11일,"1,190.68","1,192.35","1,195.51","1,189.40",(0.0007)
2019년 09월 10일,"1,191.51","1,192.09","1,193.86","1,188.76",(0.0012)
2019년 09월 09일,"1,192.93","1,192.87","1,195.88","1,189.29",0.0001 
2019년 09월 06일,"1,192.77","1,198.03","1,199.40","1,189.80",(0.0044)
2019년 09월 05일,"1,198.02","1,204.14","1,205.48","1,195.70",(0.0055)
2019년 09월 04일,"1,204.63","1,211.54","1,213.00","1,203.60",(0.0057)
2019년 09월 03일,"1,211.54","1,214.67","1,217.80","1,211.24",(0.0025)
2019년 09월 02일,"1,214.61","1,210.05","1,215.58","1,209.90",0.0034 
2019년 08월 30일,"1,210.50","1,209.12","1,212.58","1,206.99",0.0011 
2019년 08월 29일,"1,209.12","1,213.29","1,217.88","1,207.90",(0.0034)
2019년 08월 28일,"1,213.29","1,212.74","1,216.08","1,211.74",0.0005 
2019년 08월 27일,"1,212.74","1,212.74","1,216.38","1,210.70",0.0000 
2019년 08월 26일,"1,212.74","1,213.65","1,221.50","1,212.46",(0.0008)
2019년 08월 23일,"1,213.66","1,211.28","1,217.93","1,207.56",0.0027 
2019년 08월 22일,"1,210.42","1,202.49","1,212.22","1,202.49",0.0066 
2019년 08월 21일,"1,202.44","1,206.40","1,210.36","1,199.50",(0.0033)
2019년 08월 20일,"1,206.40","1,212.62","1,214.30","1,206.00",(0.0051)
2019년 08월 19일,"1,212.62","1,208.49","1,214.31","1,208.49",0.0034 
2019년 08월 16일,"1,208.47","1,213.33","1,216.30","1,205.50",(0.0040)
2019년 08월 15일,"1,213.33","1,216.86","1,219.76","1,212.70",(0.0029)
2019년 08월 14일,"1,216.86","1,206.64","1,219.40","1,206.20",0.0085 
2019년 08월 13일,"1,206.64","1,219.14","1,224.96","1,206.01",(0.0103)
2019년 08월 12일,"1,219.14","1,214.72","1,221.14","1,214.15",0.0039 
2019년 08월 09일,"1,214.45","1,208.08","1,217.48","1,207.15",0.0053 
2019년 08월 08일,"1,208.08","1,213.87","1,216.60","1,206.31",(0.0041)
2019년 08월 07일,"1,213.02","1,212.58","1,219.80","1,211.14",(0.0003)
2019년 08월 06일,"1,213.43","1,218.33","1,221.13","1,209.70",(0.0040)
2019년 08월 05일,"1,218.33","1,205.82","1,221.29","1,203.00",0.0114 
2019년 08월 02일,"1,204.61","1,195.48","1,207.09","1,190.90",0.0069 
2019년 08월 01일,"1,196.38","1,188.32","1,198.32","1,186.48",0.0068 
2019년 07월 31일,"1,188.32","1,182.04","1,189.58","1,180.33",0.0059 
2019년 07월 30일,"1,181.38","1,182.94","1,184.23","1,178.63",(0.0020)
2019년 07월 29일,"1,183.71","1,184.11","1,186.51","1,180.80",(0.0004)
2019년 07월 26일,"1,184.24","1,184.16","1,187.12","1,181.80",0.0001 
2019년 07월 25일,"1,184.16","1,178.41","1,185.57","1,177.80",0.0049 
2019년 07월 24일,"1,178.41","1,179.90","1,181.40","1,176.60",(0.0013)
2019년 07월 23일,"1,179.89","1,176.87","1,181.10","1,175.75",0.0026 
2019년 07월 22일,"1,176.87","1,176.11","1,179.90","1,175.20",0.0006 
2019년 07월 19일,"1,176.11","1,172.78","1,177.02","1,170.39",0.0028 
2019년 07월 18일,"1,172.78","1,180.62","1,184.52","1,172.76",(0.0066)
