Date,ProductID,ProductName,in_ton
20190103,23100,무,616
20190103,23200,당근,105
20190103,24400,양파,879
20190103,15100,고구마,148
20190103,22500,토마토,181
20190104,23100,무,550
20190104,23200,당근,146
20190104,24400,양파,842
20190104,22500,토마토,202
20190104,15100,고구마,138
20190105,22500,토마토,120
20190105,15100,고구마,106
20190105,23100,무,585
20190105,23200,당근,144
20190105,24400,양파,691
20190107,23100,무,1023
20190107,23200,당근,230
20190107,24400,양파,1004
20190107,15100,고구마,174
20190107,22500,토마토,172
20190108,22500,토마토,109
20190108,15100,고구마,126
20190108,23100,무,881
20190108,23200,당근,253
20190108,24400,양파,735
20190109,23100,무,687
20190109,23200,당근,148
20190109,24400,양파,912
20190109,22500,토마토,114
20190109,15100,고구마,147
20190110,22500,토마토,99
20190110,15100,고구마,131
20190110,23200,당근,145
20190110,24400,양파,820
20190110,23100,무,549
20190111,23100,무,415
20190111,23200,당근,150
20190111,24400,양파,871
20190111,22500,토마토,151
20190111,15100,고구마,165
20190112,23100,무,308
20190112,23200,당근,77
20190112,24400,양파,582
20190112,22500,토마토,103
20190112,15100,고구마,79
20190114,23100,무,472
20190114,15100,고구마,184
20190114,23200,당근,152
20190114,24400,양파,822
20190114,22500,토마토,133
20190115,23100,무,587
20190115,23200,당근,131
20190115,24400,양파,733
20190115,22500,토마토,102
20190115,15100,고구마,112
20190116,23100,무,582
20190116,23200,당근,160
20190116,22500,토마토,102
20190116,24400,양파,768
20190116,15100,고구마,137
20190117,23100,무,603
20190117,23200,당근,467
20190117,24400,양파,699
20190117,15100,고구마,114
20190117,22500,토마토,97
20190118,23100,무,578
20190118,23200,당근,209
20190118,24400,양파,713
20190118,22500,토마토,147
20190118,15100,고구마,142
20190119,23100,무,423
20190119,23200,당근,113
20190119,24400,양파,547
20190119,22500,토마토,115
20190119,15100,고구마,100
20190121,23100,무,677
20190121,23200,당근,212
20190121,24400,양파,791
20190121,22500,토마토,182
20190121,15100,고구마,133
20190122,22500,토마토,102
20190122,15100,고구마,119
20190122,23100,무,611
20190122,23200,당근,154
20190122,24400,양파,702
20190123,23100,무,604
20190123,23200,당근,217
20190123,24400,양파,807
20190123,22500,토마토,123
20190123,15100,고구마,122
20190124,23100,무,639
20190124,23200,당근,207
20190124,24400,양파,994
20190124,22500,토마토,85
20190124,15100,고구마,156
20190125,24400,양파,1125
20190125,22500,토마토,163
20190125,23100,무,804
20190125,23200,당근,184
20190125,15100,고구마,129
20190126,23100,무,704
20190126,23200,당근,160
20190126,24400,양파,746
20190126,22500,토마토,106
20190126,15100,고구마,90
20190128,23100,무,759
20190128,23200,당근,389
20190128,24400,양파,1038
20190128,22500,토마토,175
20190128,15100,고구마,194
20190129,23100,무,667
20190129,23200,당근,131
20190129,24400,양파,1077
20190129,22500,토마토,88
20190129,15100,고구마,108
20190130,23100,무,526
20190130,23200,당근,194
20190130,24400,양파,755
20190130,22500,토마토,108
20190130,15100,고구마,152
20190131,23100,무,527
20190131,23200,당근,228
20190131,24400,양파,947
20190131,22500,토마토,105
20190131,15100,고구마,108
20190201,23100,무,613
20190201,23200,당근,254
20190201,24400,양파,789
20190201,22500,토마토,202
20190201,15100,고구마,121
20190202,24400,양파,889
20190202,22500,토마토,116
20190202,15100,고구마,57
20190202,23100,무,682
20190202,23200,당근,93
20190204,23100,무,272
20190204,23200,당근,5
20190204,24400,양파,7
20190204,22500,토마토,108
20190208,23100,무,585
20190208,23200,당근,189
20190208,24400,양파,899
20190208,22500,토마토,292
20190208,15100,고구마,141
20190209,23100,무,293
20190209,23200,당근,156
20190209,24400,양파,520
20190209,22500,토마토,174
20190209,15100,고구마,60
20190211,24400,양파,645
20190211,22500,토마토,209
20190211,15100,고구마,165
20190211,23100,무,410
20190211,23200,당근,186
20190212,23100,무,454
20190212,23200,당근,161
20190212,24400,양파,686
20190212,22500,토마토,119
20190212,15100,고구마,117
20190213,23100,무,477
20190213,23200,당근,217
20190213,24400,양파,825
20190213,22500,토마토,134
20190213,15100,고구마,128
20190214,23100,무,682
20190214,23200,당근,181
20190214,24400,양파,822
20190214,22500,토마토,106
20190214,15100,고구마,114
20190215,23100,무,571
20190215,23200,당근,220
20190215,24400,양파,771
20190215,22500,토마토,176
20190215,15100,고구마,125
20190216,23100,무,488
20190216,23200,당근,96
20190216,24400,양파,657
20190216,22500,토마토,109
20190216,15100,고구마,69
20190218,23100,무,713
20190218,23200,당근,297
20190218,24400,양파,687
20190218,15100,고구마,172
20190218,22500,토마토,197
20190219,24400,양파,757
20190219,23100,무,491
20190219,23200,당근,161
20190219,22500,토마토,114
20190219,15100,고구마,92
20190220,23100,무,425
20190220,23200,당근,133
20190220,24400,양파,536
20190220,22500,토마토,117
20190220,15100,고구마,118
20190221,23100,무,415
20190221,23200,당근,88
20190221,24400,양파,721
20190221,22500,토마토,112
20190221,15100,고구마,126
20190222,23100,무,551
20190222,23200,당근,148
20190222,24400,양파,732
20190222,22500,토마토,198
20190222,15100,고구마,133
20190223,22500,토마토,142
20190223,15100,고구마,63
20190223,23100,무,353
20190223,23200,당근,117
20190223,24400,양파,522
20190225,23100,무,534
20190225,23200,당근,194
20190225,24400,양파,816
20190225,22500,토마토,228
20190225,15100,고구마,101
20190226,23100,무,546
20190226,23200,당근,161
20190226,24400,양파,902
20190226,22500,토마토,149
20190226,15100,고구마,63
20190227,23100,무,506
20190227,23200,당근,91
20190227,24400,양파,1236
20190227,22500,토마토,171
20190227,15100,고구마,97
20190228,23100,무,516
20190228,23200,당근,428
20190228,24400,양파,981
20190228,22500,토마토,127
20190228,15100,고구마,68
