Date,ProductID,Grade,KG,ProductName,Price
20190108,24400,0,20,양파,19106
20190108,24400,1,1,양파,758
20190108,24400,1,12,양파,7613
20190108,24400,1,15,양파,11778
20190108,24400,1,20,양파,15831
20190108,24400,2,1,양파,553
20190108,24400,2,12,양파,5620
20190108,24400,2,15,양파,10029
20190108,24400,2,20,양파,11725
20190108,24400,3,1,양파,339
20190108,24400,3,12,양파,3236
20190108,24400,3,15,양파,7289
20190108,24400,3,20,양파,8970
20190109,15100,0,10,고구마,49738
20190109,15100,1,10,고구마,34844
20190109,15100,2,10,고구마,24420
20190109,15100,3,10,고구마,12927
20190109,22500,0,10,토마토,24702
20190109,22500,0,5,토마토,11170
20190109,22500,1,10,토마토,19972
20190109,22500,1,5,토마토,10360
20190109,22500,2,10,토마토,15279
20190109,22500,2,5,토마토,8485
20190109,22500,3,10,토마토,9732
20190109,22500,3,5,토마토,6053
20190109,23100,0,20,무,7037
20190109,23100,1,20,무,6450
20190109,23100,2,20,무,5777
20190109,23100,3,20,무,4448
20190109,23200,1,20,당근,23082
20190109,23200,2,20,당근,20523
20190109,23200,3,20,당근,16932
20190109,24400,0,1,양파,872
20190109,24400,0,12,양파,10508
20190109,24400,0,15,양파,12355
20190109,24400,0,20,양파,18617
20190109,24400,1,1,양파,689
20190109,24400,1,12,양파,6368
20190109,24400,1,15,양파,10927
20190109,24400,1,20,양파,15113
20190109,24400,2,1,양파,477
20190109,24400,2,12,양파,4705
20190109,24400,2,15,양파,9273
20190109,24400,2,20,양파,12298
20190109,24400,3,1,양파,271
20190109,24400,3,12,양파,2633
20190109,24400,3,15,양파,7083
20190109,24400,3,20,양파,7386
20190110,15100,0,10,고구마,43685
20190110,15100,1,10,고구마,30180
20190110,15100,2,10,고구마,20523
20190110,15100,3,10,고구마,10803
20190110,22500,0,10,토마토,27551
20190110,22500,0,5,토마토,12595
20190110,22500,1,10,토마토,20954
20190110,22500,1,5,토마토,11086
20190110,22500,2,10,토마토,19602
20190110,22500,2,5,토마토,9018
20190110,22500,3,10,토마토,15953
20190110,22500,3,5,토마토,6673
20190110,23100,0,20,무,7000
20190110,23100,1,20,무,6305
20190110,23100,2,20,무,5566
20190110,23100,3,20,무,4619
20190110,23200,1,20,당근,23074
20190110,23200,2,20,당근,20786
20190110,23200,3,20,당근,17510
20190110,24400,0,1,양파,845
20190110,24400,0,12,양파,9774
20190110,24400,0,15,양파,12085
20190110,24400,0,20,양파,17247
20190110,24400,1,1,양파,640
20190110,24400,1,12,양파,5537
20190110,24400,1,15,양파,10299
20190110,24400,1,20,양파,13932
20190110,24400,2,1,양파,419
20190110,24400,2,12,양파,3982
20190110,24400,2,15,양파,8549
20190110,24400,2,20,양파,11421
20190110,24400,3,1,양파,236
20190110,24400,3,12,양파,2213
20190110,24400,3,15,양파,6168
20190110,24400,3,20,양파,8079
20190111,15100,0,10,고구마,49585
20190111,15100,1,10,고구마,35555
20190111,15100,2,10,고구마,24271
20190111,15100,3,10,고구마,12607
20190111,22500,0,10,토마토,24935
20190111,22500,0,5,토마토,12392
20190111,22500,1,10,토마토,21967
20190111,22500,1,5,토마토,10437
20190111,22500,2,10,토마토,16162
20190111,22500,2,5,토마토,8382
20190111,22500,3,10,토마토,6415
20190111,22500,3,5,토마토,5287
20190111,23100,0,20,무,7017
20190111,23100,1,20,무,6288
20190111,23100,2,20,무,5735
20190111,23100,3,20,무,4820
20190111,23200,1,20,당근,24716
20190111,23200,2,20,당근,21766
20190111,23200,3,20,당근,17057
20190111,24400,0,1,양파,802
20190111,24400,0,12,양파,9528
20190111,24400,0,15,양파,11526
20190111,24400,0,20,양파,16898
20190111,24400,1,1,양파,612
20190111,24400,1,12,양파,5326
20190111,24400,1,15,양파,9560
20190111,24400,1,20,양파,13466
20190111,24400,2,1,양파,391
20190111,24400,2,12,양파,3697
20190111,24400,2,15,양파,8013
20190111,24400,2,20,양파,10982
20190111,24400,3,1,양파,223
20190111,24400,3,12,양파,2264
20190111,24400,3,15,양파,5054
20190111,24400,3,20,양파,8255
20190112,15100,0,10,고구마,39341
20190112,15100,1,10,고구마,27815
20190112,15100,2,10,고구마,20985
20190112,15100,3,10,고구마,10843
20190112,22500,0,10,토마토,23780
20190112,22500,0,5,토마토,12000
20190112,22500,1,10,토마토,19766
20190112,22500,1,5,토마토,10271
20190112,22500,2,10,토마토,15528
20190112,22500,2,5,토마토,8184
20190112,22500,3,10,토마토,12876
20190112,22500,3,5,토마토,6228
20190112,23100,0,20,무,6662
20190112,23100,1,20,무,6156
20190112,23100,2,20,무,5784
20190112,23100,3,20,무,4689
20190112,23200,1,20,당근,23300
20190112,23200,2,20,당근,22333
20190112,23200,3,20,당근,18188
20190112,24400,0,1,양파,797
20190112,24400,0,12,양파,8885
20190112,24400,0,15,양파,12019
20190112,24400,0,20,양파,15140
20190112,24400,1,1,양파,617
20190112,24400,1,12,양파,5407
20190112,24400,1,15,양파,9881
20190112,24400,1,20,양파,12370
20190112,24400,2,1,양파,429
20190112,24400,2,12,양파,3883
20190112,24400,2,15,양파,8322
20190112,24400,2,20,양파,10497
20190112,24400,3,1,양파,257
20190112,24400,3,12,양파,2650
20190112,24400,3,15,양파,5906
20190112,24400,3,20,양파,8285
20190114,15100,0,10,고구마,49266
20190114,15100,1,10,고구마,36355
20190114,15100,2,10,고구마,25560
20190114,15100,3,10,고구마,14043
20190114,22500,0,10,토마토,27000
20190114,22500,0,5,토마토,12659
20190114,22500,1,10,토마토,23179
20190114,22500,1,5,토마토,11377
20190114,22500,2,10,토마토,16338
20190114,22500,2,5,토마토,9362
20190114,22500,3,10,토마토,9000
20190114,22500,3,5,토마토,7150
20190114,23100,0,20,무,7950
20190114,23100,1,20,무,6749
20190114,23100,2,20,무,6006
20190114,23100,3,20,무,4363
20190114,23200,1,20,당근,24935
20190114,23200,2,20,당근,22977
20190114,23200,3,20,당근,18745
20190114,24400,0,1,양파,786
20190114,24400,0,12,양파,9189
20190114,24400,0,15,양파,11395
20190114,24400,0,20,양파,15219
20190114,24400,1,1,양파,603
20190114,24400,1,12,양파,5265
20190114,24400,1,15,양파,9775
20190114,24400,1,20,양파,11772
20190114,24400,2,1,양파,397
20190114,24400,2,12,양파,3870
20190114,24400,2,15,양파,8422
20190114,24400,2,20,양파,10341
20190114,24400,3,1,양파,245
20190114,24400,3,12,양파,2655
20190114,24400,3,15,양파,5288
20190114,24400,3,20,양파,7121
20190115,15100,0,10,고구마,39728
20190115,15100,1,10,고구마,29391
20190115,15100,2,10,고구마,21846
20190115,15100,3,10,고구마,11505
20190115,22500,0,10,토마토,27895
20190115,22500,0,5,토마토,13000
20190115,22500,1,10,토마토,24629
20190115,22500,1,5,토마토,11883
20190115,22500,2,10,토마토,13931
20190115,22500,2,5,토마토,10400
20190115,22500,3,10,토마토,6701
20190115,22500,3,5,토마토,7768
20190115,23100,0,20,무,8354
20190115,23100,1,20,무,7039
20190115,23100,2,20,무,6217
20190115,23100,3,20,무,4791
20190115,23200,1,20,당근,27253
20190115,23200,2,20,당근,23528
20190115,23200,3,20,당근,19562
20190115,24400,0,1,양파,781
20190115,24400,0,12,양파,9468
20190115,24400,0,15,양파,11307
20190115,24400,0,20,양파,15118
20190115,24400,1,1,양파,585
20190115,24400,1,12,양파,5608
20190115,24400,1,15,양파,9428
20190115,24400,1,20,양파,10765
20190115,24400,2,1,양파,392
20190115,24400,2,12,양파,3952
20190115,24400,2,15,양파,7451
20190115,24400,2,20,양파,7499
20190115,24400,3,1,양파,229
20190115,24400,3,12,양파,2565
20190115,24400,3,15,양파,3913
20190115,24400,3,20,양파,5689
20190116,15100,0,10,고구마,39802
20190116,15100,1,10,고구마,31458
20190116,15100,2,10,고구마,22651
20190116,15100,3,10,고구마,11930
20190116,22500,0,10,토마토,31591
20190116,22500,0,5,토마토,13186
20190116,22500,1,10,토마토,21335
20190116,22500,1,5,토마토,11787
20190116,22500,2,10,토마토,13886
20190116,22500,2,5,토마토,9405
20190116,22500,3,10,토마토,9954
